Row Type,Action,Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Status,Phone number,Country code,Callout text
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,headspa,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,japanisches head spa,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,kopfmassage,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,kopf spa,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,hair spa,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa baesweiler,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,headspa baesweiler,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa aachen,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,headspa aachen,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa würselen,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa alsdorf,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa eschweiler,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa stolberg,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa herzogenrath,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa übach,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,japanisches head spa aachen,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,kopfhaut ritual,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,japanisches kopfhaut ritual,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa nähe,Exact,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa,Phrase,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,headspa,Phrase,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,japanisches head spa,Phrase,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,kopfmassage,Phrase,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa in der nähe,Phrase,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,headspa in der nähe,Phrase,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa aachen,Phrase,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa baesweiler,Phrase,,Enabled,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,japanisches head spa,Phrase,,Enabled,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,head spa gutschein,Exact,,Enabled,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,gutschein head spa,Exact,,Enabled,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,headspa gutschein,Exact,,Enabled,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,wellness gutschein,Exact,,Enabled,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,wellness gutschein aachen,Exact,,Enabled,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,gutschein baesweiler,Exact,,Enabled,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,head spa geschenk,Exact,,Enabled,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,wellnesstal gutschein,Exact,,Enabled,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,gutschein entspannung,Exact,,Enabled,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,head spa gutschein aachen,Exact,,Enabled,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,head spa gutschein,Phrase,,Enabled,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,gutschein head spa,Phrase,,Enabled,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,wellness gutschein,Phrase,,Enabled,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,head spa geschenk,Phrase,,Enabled,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,gutschein entspannung,Phrase,,Enabled,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,wellness gutschein aachen,Phrase,,Enabled,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,head spa zu zweit,Exact,,Enabled,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,headspa zu zweit,Exact,,Enabled,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,head spa für 2,Exact,,Enabled,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,head spa für zwei,Exact,,Enabled,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,partner head spa,Exact,,Enabled,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,head spa paar,Exact,,Enabled,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,headspa paar,Exact,,Enabled,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,head spa date,Exact,,Enabled,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,auszeit zu zweit,Exact,,Enabled,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,head spa zu zweit,Phrase,,Enabled,,,
