Row Type,Action,Campaign,Ad group,Keyword,Match type,Phone number,Country code,Callout text
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa,Exact,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,headspa,Exact,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,japanisches head spa,Exact,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,kopfmassage,Exact,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,kopf spa,Exact,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,hair spa,Exact,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa baesweiler,Exact,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,headspa baesweiler,Exact,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa aachen,Exact,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,headspa aachen,Exact,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,japanisches head spa aachen,Exact,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,kopfhaut ritual,Exact,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,japanisches kopfhaut ritual,Exact,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa,Phrase,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,headspa,Phrase,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,japanisches head spa,Phrase,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,kopfmassage,Phrase,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa in der nahe,Phrase,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa aachen,Phrase,,,
Keyword,Add,WT-HS-SEARCH,WT-HS-Core,head spa baesweiler,Phrase,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,head spa gutschein,Exact,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,gutschein head spa,Exact,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,headspa gutschein,Exact,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,wellness gutschein,Exact,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,wellness gutschein aachen,Exact,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,gutschein baesweiler,Exact,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,head spa geschenk,Exact,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,wellnesstal gutschein,Exact,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,gutschein entspannung,Exact,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,head spa gutschein aachen,Exact,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,head spa gutschein,Phrase,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,gutschein head spa,Phrase,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,wellness gutschein,Phrase,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,head spa geschenk,Phrase,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,gutschein entspannung,Phrase,,,
Keyword,Add,WT-GUTSCHEIN-SEARCH,WT-Gutschein-Core,wellness gutschein aachen,Phrase,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,head spa zu zweit,Exact,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,headspa zu zweit,Exact,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,head spa fur 2,Exact,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,head spa fur zwei,Exact,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,partner head spa,Exact,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,head spa paar,Exact,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,headspa paar,Exact,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,head spa date,Exact,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,auszeit zu zweit,Exact,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,head spa zu zweit,Phrase,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,head spa fur 2,Phrase,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,headspa zu zweit,Phrase,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,partner head spa,Phrase,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,head spa paar,Phrase,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,friseur,Broad,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,frisor,Broad,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,nagel,Broad,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,nagelstudio,Broad,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,job,Broad,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,diy,Broad,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,gratis,Broad,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,fenster,Broad,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,fensterreinigung,Broad,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,glasreinigung,Broad,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,kosmetik,Broad,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,haarschnitt,Broad,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,friseur,Broad,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,frisor,Broad,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,nagel,Broad,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,nagelstudio,Broad,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,job,Broad,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,diy,Broad,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,gratis,Broad,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,fenster,Broad,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,fensterreinigung,Broad,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,glasreinigung,Broad,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,kosmetik,Broad,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,haarschnitt,Broad,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,friseur,Broad,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,frisor,Broad,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,nagel,Broad,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,nagelstudio,Broad,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,job,Broad,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,diy,Broad,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,gratis,Broad,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,fenster,Broad,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,fensterreinigung,Broad,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,glasreinigung,Broad,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,kosmetik,Broad,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,haarschnitt,Broad,,,
Campaign call,Add,WT-HS-SEARCH,,,,"01733828581",DE,
Campaign call,Add,WT-GUTSCHEIN-SEARCH,,,,"01733828581",DE,
Campaign call,Add,WT-ZUZWEIT-SEARCH,,,,"01733828581",DE,
Campaign callout,Add,WT-HS-SEARCH,,,,,,Reine Entspannung
Campaign callout,Add,WT-HS-SEARCH,,,,,,Zeit nur fuer dich
Campaign callout,Add,WT-GUTSCHEIN-SEARCH,,,,,,Stille statt Zeug
Campaign callout,Add,WT-GUTSCHEIN-SEARCH,,,,,,Ab 89 Euro
